load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
44564480	20480	8028016	12	81920	(8, 8, 320)	(8, 8, 2048)	(1, 1)	(1, 1)	(0, 0)
1035264	55488	3728	560	768	(17, 17, 192)	(17, 17, 768)	(1, 1)	(1, 1)	(0, 0)
501760	43904	2000	1248	1792	(14, 14, 224)	(14, 14, 112)	(3, 3)	(1, 1)	(1, 1)
3161888	100352	13456	1472	2048	(14, 14, 512)	(14, 14, 512)	(3, 3)	(1, 1)	(1, 1)
165888	12544	704	296	512	(14, 14, 64)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
682368	18816	1472	2088	1536	(7, 7, 384)	(7, 7, 192)	(3, 3)	(1, 1)	(1, 1)
469120	117600	3344	576	1920	(35, 35, 96)	(35, 35, 64)	(3, 3)	(1, 1)	(1, 1)
18528	14112	384	576	1152	(7, 7, 288)	(7, 7, 48)	(1, 1)	(1, 1)	(0, 0)
441290416	129792	4153200	12	519168	(13, 13, 768)	(17, 17, 128)	(5, 5)	(1, 1)	(0, 0)
17408	9408	384	576	384	(14, 14, 48)	(14, 14, 16)	(3, 3)	(1, 1)	(1, 1)
2129920	200704	8336	576	4096	(14, 14, 1024)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
490176	28224	1184	1584	1152	(14, 14, 144)	(28, 28, 144)	(3, 3)	(2, 2)	(1, 1)
374784	75264	2320	240	1536	(28, 28, 96)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
358912	50176	1424	744	1024	(28, 28, 64)	(56, 56, 64)	(3, 3)	(2, 2)	(1, 1)
325632	50176	1808	352	512	(28, 28, 64)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
80704	2352	288	120	192	(7, 7, 48)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
1459600	19600	1392	2136	1600	(7, 7, 400)	(7, 7, 400)	(3, 3)	(1, 1)	(1, 1)
256256	100352	9104	40	7168	(56, 56, 32)	(112, 112, 32)	(1, 1)	(2, 2)	(0, 0)
398848	100352	2704	128	2048	(28, 28, 128)	(56, 56, 64)	(1, 1)	(2, 2)	(0, 0)
217088	25088	1088	352	256	(28, 28, 32)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
1851392	100352	4240	520	4096	(14, 14, 512)	(14, 14, 1024)	(1, 1)	(1, 1)	(0, 0)
2101824	4608	2048	1488	1152	(4, 4, 288)	(7, 7, 288)	(5, 5)	(2, 2)	(2, 2)
638976	40768	10960	192	1664	(14, 14, 208)	(14, 14, 96)	(3, 3)	(1, 1)	(1, 1)
1654832	32448	551728	12	129792	(13, 13, 192)	(13, 13, 48)	(1, 1)	(1, 1)	(0, 0)
1032192	200696	7312	176	3584	(56, 56, 64)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
2129920	200704	8336	296	4096	(28, 28, 256)	(28, 28, 512)	(1, 1)	(1, 1)	(0, 0)
281280	58800	1232	120	960	(35, 35, 48)	(35, 35, 192)	(1, 1)	(1, 1)	(0, 0)
375040	58800	1232	120	960	(35, 35, 48)	(35, 35, 256)	(1, 1)	(1, 1)	(0, 0)
797760	78400	4304	184	1280	(35, 35, 64)	(35, 35, 288)	(1, 1)	(1, 1)	(0, 0)
28471424	93312	1306480	12	373248	(27, 27, 128)	(27, 27, 32)	(3, 3)	(1, 1)	(1, 1)
703680	117600	4304	576	1920	(35, 35, 96)	(35, 35, 96)	(3, 3)	(1, 1)	(1, 1)
30848	18816	384	744	1536	(7, 7, 384)	(7, 7, 64)	(1, 1)	(1, 1)	(0, 0)
74496	4704	512	240	384	(7, 7, 96)	(7, 7, 384)	(1, 1)	(1, 1)	(0, 0)
31232	37632	784	464	768	(14, 14, 192)	(14, 14, 32)	(1, 1)	(1, 1)	(0, 0)
37600848	20480	901232	12	81920	(8, 8, 320)	(17, 17, 192)	(3, 3)	(2, 2)	(0, 0)
696320	50176	2192	1472	1024	(14, 14, 256)	(28, 28, 128)	(3, 3)	(2, 2)	(1, 1)
790528	50176	3728	1472	1024	(14, 14, 256)	(14, 14, 256)	(3, 3)	(1, 1)	(1, 1)
3098880	28224	7568	1584	2304	(7, 7, 576)	(7, 7, 576)	(3, 3)	(1, 1)	(1, 1)
577024	100352	3280	240	1792	(56, 56, 32)	(112, 112, 32)	(3, 3)	(2, 2)	(1, 1)
104294144	24576	2261104	12	98304	(8, 8, 384)	(8, 8, 448)	(3, 3)	(1, 1)	(1, 1)
1525760	86528	7312	1368	2048	(13, 13, 512)	(13, 13, 256)	(3, 3)	(1, 1)	(1, 1)
7311360	1605624	35984	224	28672	(112, 112, 128)	(112, 112, 64)	(3, 3)	(1, 1)	(1, 1)
12302880	967856	52400	168	54528	(71, 71, 192)	(73, 73, 80)	(3, 3)	(1, 1)	(0, 0)
865280	50176	3152	576	1024	(14, 14, 256)	(14, 14, 832)	(1, 1)	(1, 1)	(0, 0)
2899968	200704	14480	800	2048	(28, 28, 256)	(28, 28, 256)	(3, 3)	(1, 1)	(1, 1)
762880	43264	3728	1368	1024	(13, 13, 256)	(13, 13, 256)	(3, 3)	(1, 1)	(1, 1)
3923968	200704	26768	128	8192	(14, 14, 1024)	(28, 28, 512)	(1, 1)	(2, 2)	(0, 0)
724992	100352	4240	800	1024	(28, 28, 128)	(28, 28, 128)	(3, 3)	(1, 1)	(1, 1)
215040	21952	704	464	896	(14, 14, 112)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
401024	18816	704	744	1536	(7, 7, 384)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
543744	100352	3472	800	1024	(28, 28, 128)	(28, 28, 96)	(3, 3)	(1, 1)	(1, 1)
67392	1568	288	92	128	(7, 7, 32)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
60000	6272	608	744	512	(7, 7, 128)	(7, 7, 48)	(3, 3)	(1, 1)	(1, 1)
525456	2304	624	744	576	(4, 4, 144)	(7, 7, 144)	(5, 5)	(2, 2)	(2, 2)
129024	200696	2384	176	3584	(56, 56, 64)	(56, 56, 32)	(1, 1)	(1, 1)	(0, 0)
4064256	401408	4624	280	57344	(28, 28, 512)	(56, 56, 256)	(1, 1)	(2, 2)	(0, 0)
395264	50176	2192	1472	1024	(14, 14, 256)	(14, 14, 128)	(3, 3)	(1, 1)	(1, 1)
516096	401400	6416	176	7168	(56, 56, 128)	(56, 56, 64)	(1, 1)	(1, 1)	(0, 0)
4259840	401400	16528	296	8192	(28, 28, 512)	(28, 28, 512)	(1, 1)	(1, 1)	(0, 0)
2785280	173056	32912	336	4096	(26, 26, 256)	(26, 26, 128)	(3, 3)	(1, 1)	(1, 1)
2498432	50176	2192	968	4096	(7, 7, 1024)	(7, 7, 2048)	(1, 1)	(1, 1)	(0, 0)
2941952	43264	865392	12	173056	(13, 13, 256)	(13, 13, 64)	(1, 1)	(1, 1)	(0, 0)
481280	31360	1280	1808	640	(14, 14, 160)	(28, 28, 160)	(3, 3)	(2, 2)	(1, 1)
407040	9408	1472	1080	768	(7, 7, 192)	(14, 14, 192)	(3, 3)	(2, 2)	(1, 1)
99712	50176	1040	128	1024	(28, 28, 64)	(56, 56, 32)	(1, 1)	(2, 2)	(0, 0)
1595392	50176	3728	1416	2048	(14, 14, 256)	(28, 28, 256)	(3, 3)	(2, 2)	(1, 1)
1249280	50176	1424	968	4096	(7, 7, 1024)	(7, 7, 1024)	(1, 1)	(1, 1)	(0, 0)
3031040	173056	57488	32	4096	(26, 26, 256)	(26, 26, 256)	(1, 1)	(1, 1)	(0, 0)
2064384	401400	9104	176	7168	(56, 56, 128)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
66560	50176	1424	128	1024	(28, 28, 64)	(28, 28, 64)	(1, 1)	(1, 1)	(0, 0)
64704	28224	384	1080	2304	(7, 7, 576)	(7, 7, 96)	(1, 1)	(1, 1)	(0, 0)
49408	25088	512	1472	512	(14, 14, 128)	(14, 14, 32)	(3, 3)	(1, 1)	(1, 1)
62389744	28672	11239536	12	114688	(8, 8, 448)	(8, 8, 2048)	(1, 1)	(1, 1)	(0, 0)
774720	14112	2048	1584	1152	(7, 7, 288)	(7, 7, 288)	(3, 3)	(1, 1)	(1, 1)
26321920	43264	865392	12	173056	(13, 13, 256)	(13, 13, 64)	(3, 3)	(1, 1)	(1, 1)
52224	9408	608	576	384	(14, 14, 48)	(14, 14, 48)	(3, 3)	(1, 1)	(1, 1)
1066752	401392	7312	360	2048	(112, 112, 32)	(112, 112, 32)	(3, 3)	(1, 1)	(1, 1)
9637888	50176	12944	2760	4096	(7, 7, 1024)	(7, 7, 1024)	(3, 3)	(1, 1)	(1, 1)
234240	18816	1280	464	384	(14, 14, 96)	(14, 14, 480)	(1, 1)	(1, 1)	(0, 0)
2902016	346112	41104	336	8192	(52, 52, 128)	(52, 52, 64)	(3, 3)	(1, 1)	(1, 1)
1929216	75264	10384	1136	1536	(14, 14, 384)	(14, 14, 384)	(3, 3)	(1, 1)	(1, 1)
162816	150528	2064	352	1536	(28, 28, 192)	(28, 28, 32)	(1, 1)	(1, 1)	(0, 0)
64768	50176	784	360	256	(56, 56, 16)	(56, 56, 16)	(3, 3)	(1, 1)	(1, 1)
101760	3136	336	68	64	(14, 14, 16)	(14, 14, 480)	(1, 1)	(1, 1)	(0, 0)
153600	50176	1232	32	256	(56, 56, 16)	(56, 56, 48)	(1, 1)	(1, 1)	(0, 0)
214656	7840	704	352	640	(7, 7, 160)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
265920	39200	1232	92	640	(35, 35, 32)	(35, 35, 192)	(1, 1)	(1, 1)	(0, 0)
133120	6272	704	184	256	(14, 14, 32)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
65408	31360	704	128	1280	(14, 14, 160)	(28, 28, 64)	(1, 1)	(2, 2)	(0, 0)
6345088	23328	1306480	12	93312	(27, 27, 32)	(27, 27, 256)	(1, 1)	(1, 1)	(0, 0)
9637888	16384	12944	1584	4096	(4, 4, 1024)	(7, 7, 1024)	(3, 3)	(2, 2)	(1, 1)
586240	62720	2576	1808	1280	(14, 14, 320)	(14, 14, 160)	(3, 3)	(1, 1)	(1, 1)
274560	25088	1376	576	512	(14, 14, 128)	(14, 14, 528)	(1, 1)	(1, 1)	(0, 0)
421920	58800	1472	120	960	(35, 35, 48)	(35, 35, 288)	(1, 1)	(1, 1)	(0, 0)
124416	12544	704	296	512	(14, 14, 64)	(14, 14, 384)	(1, 1)	(1, 1)	(0, 0)
1064832	200696	8336	576	4096	(14, 14, 1024)	(14, 14, 256)	(1, 1)	(1, 1)	(0, 0)
986112	36992	3728	424	512	(17, 17, 128)	(17, 17, 768)	(1, 1)	(1, 1)	(0, 0)
3172608	1728	76144	12	6912	(3, 3, 192)	(8, 8, 192)	(3, 3)	(2, 2)	(0, 0)
13164672	96800	3097712	12	387200	(55, 55, 32)	(55, 55, 128)	(1, 1)	(1, 1)	(0, 0)
717824	100352	2704	744	2048	(28, 28, 128)	(56, 56, 64)	(3, 3)	(2, 2)	(1, 1)
156672	12544	896	136	128	(28, 28, 16)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
2281472	100352	8336	408	2048	(28, 28, 128)	(56, 56, 128)	(3, 3)	(2, 2)	(1, 1)
1249280	100352	2704	968	8192	(7, 7, 2048)	(7, 7, 512)	(1, 1)	(1, 1)	(0, 0)
