wkl_name	ofm_dim	ifm_dim	kernel_dim	stride	pad
14_14_1024_1024_3_3_1_1_2_2	(7, 7, 1024)	(14, 14, 1024)	(3, 3)	(2, 2)	(1, 1)
14_14_16_48_1_1_0_0_1_1	(14, 14, 48)	(14, 14, 16)	(1, 1)	(1, 1)	(0, 0)
14_14_32_64_3_3_1_1_1_1	(14, 14, 64)	(14, 14, 32)	(3, 3)	(1, 1)	(1, 1)
7_7_2048_1024_1_1_0_0_1_1	(7, 7, 1024)	(7, 7, 2048)	(1, 1)	(1, 1)	(0, 0)
28_28_96_128_3_3_1_1_1_1	(28, 28, 128)	(28, 28, 96)	(3, 3)	(1, 1)	(1, 1)
13_13_384_64_1_1_0_0_1_1	(13, 13, 64)	(13, 13, 384)	(1, 1)	(1, 1)	(0, 0)
28_28_144_32_1_1_0_0_1_1	(28, 28, 32)	(28, 28, 144)	(1, 1)	(1, 1)	(0, 0)
56_56_128_256_3_3_1_1_1_1	(56, 56, 256)	(56, 56, 128)	(3, 3)	(1, 1)	(1, 1)
112_112_32_32_3_3_1_1_1_1	(112, 112, 32)	(112, 112, 32)	(3, 3)	(1, 1)	(1, 1)
14_14_48_48_5_5_2_2_2_2	(7, 7, 48)	(14, 14, 48)	(5, 5)	(2, 2)	(2, 2)
56_56_32_64_1_1_0_0_1_1	(56, 56, 64)	(56, 56, 32)	(1, 1)	(1, 1)	(0, 0)
56_56_16_16_3_3_1_1_1_1	(56, 56, 16)	(56, 56, 16)	(3, 3)	(1, 1)	(1, 1)
28_28_256_256_3_3_1_1_2_2	(14, 14, 256)	(28, 28, 256)	(3, 3)	(2, 2)	(1, 1)
14_14_160_400_1_1_0_0_1_1	(14, 14, 400)	(14, 14, 160)	(1, 1)	(1, 1)	(0, 0)
14_14_512_1024_1_1_0_0_2_2	(7, 7, 1024)	(14, 14, 512)	(1, 1)	(2, 2)	(0, 0)
13_13_512_64_1_1_0_0_1_1	(13, 13, 64)	(13, 13, 512)	(1, 1)	(1, 1)	(0, 0)
208_208_16_32_3_3_1_1_1_1	(208, 208, 32)	(208, 208, 16)	(3, 3)	(1, 1)	(1, 1)
13_13_256_512_3_3_1_1_1_1	(13, 13, 512)	(13, 13, 256)	(3, 3)	(1, 1)	(1, 1)
14_14_144_288_3_3_1_1_1_1	(14, 14, 288)	(14, 14, 144)	(3, 3)	(1, 1)	(1, 1)
56_56_256_256_3_3_1_1_1_1	(56, 56, 256)	(56, 56, 256)	(3, 3)	(1, 1)	(1, 1)
8_8_2048_320_1_1_0_0_1_1	(8, 8, 320)	(8, 8, 2048)	(1, 1)	(1, 1)	(0, 0)
28_28_16_32_3_3_1_1_1_1	(28, 28, 32)	(28, 28, 16)	(3, 3)	(1, 1)	(1, 1)
28_28_480_192_1_1_0_0_1_1	(28, 28, 192)	(28, 28, 480)	(1, 1)	(1, 1)	(0, 0)
56_56_64_64_3_3_1_1_1_1	(56, 56, 64)	(56, 56, 64)	(3, 3)	(1, 1)	(1, 1)
56_56_128_256_1_1_0_0_1_1	(56, 56, 256)	(56, 56, 128)	(1, 1)	(1, 1)	(0, 0)
7_7_576_576_3_3_1_1_1_1	(7, 7, 576)	(7, 7, 576)	(3, 3)	(1, 1)	(1, 1)
28_28_16_96_1_1_0_0_1_1	(28, 28, 96)	(28, 28, 16)	(1, 1)	(1, 1)	(0, 0)
56_56_64_64_1_1_0_0_1_1	(56, 56, 64)	(56, 56, 64)	(1, 1)	(1, 1)	(0, 0)
14_14_160_160_1_1_0_0_1_1	(14, 14, 160)	(14, 14, 160)	(1, 1)	(1, 1)	(0, 0)
56_56_256_512_1_1_0_0_2_2	(28, 28, 512)	(56, 56, 256)	(1, 1)	(2, 2)	(0, 0)
17_17_768_192_1_1_0_0_1_1	(17, 17, 192)	(17, 17, 768)	(1, 1)	(1, 1)	(0, 0)
28_28_256_512_3_3_1_1_1_1	(28, 28, 512)	(28, 28, 256)	(3, 3)	(1, 1)	(1, 1)
7_7_832_384_1_1_0_0_1_1	(7, 7, 384)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
14_14_256_512_3_3_1_1_2_2	(7, 7, 512)	(14, 14, 256)	(3, 3)	(2, 2)	(1, 1)
28_28_256_128_1_1_0_0_1_1	(28, 28, 128)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
28_28_192_64_1_1_0_0_1_1	(28, 28, 64)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
7_7_832_48_1_1_0_0_1_1	(7, 7, 48)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
14_14_512_160_1_1_0_0_1_1	(14, 14, 160)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
35_35_192_64_1_1_0_0_1_1	(35, 35, 64)	(35, 35, 192)	(1, 1)	(1, 1)	(0, 0)
28_28_64_64_1_1_0_0_1_1	(28, 28, 64)	(28, 28, 64)	(1, 1)	(1, 1)	(0, 0)
28_28_32_192_1_1_0_0_1_1	(28, 28, 192)	(28, 28, 32)	(1, 1)	(1, 1)	(0, 0)
14_14_256_512_1_1_0_0_2_2	(7, 7, 512)	(14, 14, 256)	(1, 1)	(2, 2)	(0, 0)
14_14_384_384_3_3_1_1_1_1	(14, 14, 384)	(14, 14, 384)	(3, 3)	(1, 1)	(1, 1)
55_55_16_64_3_3_1_1_1_1	(55, 55, 64)	(55, 55, 16)	(3, 3)	(1, 1)	(1, 1)
28_28_256_64_1_1_0_0_1_1	(28, 28, 64)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
8_8_192_192_3_3_0_0_2_2	(3, 3, 192)	(8, 8, 192)	(3, 3)	(2, 2)	(0, 0)
13_13_48_192_1_1_0_0_1_1	(13, 13, 192)	(13, 13, 48)	(1, 1)	(1, 1)	(0, 0)
28_28_256_512_1_1_0_0_2_2	(14, 14, 512)	(28, 28, 256)	(1, 1)	(2, 2)	(0, 0)
14_14_512_512_3_3_1_1_2_2	(7, 7, 512)	(14, 14, 512)	(3, 3)	(2, 2)	(1, 1)
56_56_32_64_1_1_0_0_2_2	(28, 28, 64)	(56, 56, 32)	(1, 1)	(2, 2)	(0, 0)
7_7_832_32_1_1_0_0_1_1	(7, 7, 32)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
7_7_240_240_3_3_1_1_1_1	(7, 7, 240)	(7, 7, 240)	(3, 3)	(1, 1)	(1, 1)
14_14_512_64_1_1_0_0_1_1	(14, 14, 64)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
28_28_64_160_1_1_0_0_1_1	(28, 28, 160)	(28, 28, 64)	(1, 1)	(1, 1)	(0, 0)
14_14_512_144_1_1_0_0_1_1	(14, 14, 144)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
7_7_384_384_3_3_1_1_1_1	(7, 7, 384)	(7, 7, 384)	(3, 3)	(1, 1)	(1, 1)
28_28_96_96_3_3_1_1_2_2	(14, 14, 96)	(28, 28, 96)	(3, 3)	(2, 2)	(1, 1)
7_7_160_320_3_3_1_1_1_1	(7, 7, 320)	(7, 7, 160)	(3, 3)	(1, 1)	(1, 1)
14_14_1024_1024_1_1_0_0_1_1	(14, 14, 1024)	(14, 14, 1024)	(1, 1)	(1, 1)	(0, 0)
27_27_32_128_1_1_0_0_1_1	(27, 27, 128)	(27, 27, 32)	(1, 1)	(1, 1)	(0, 0)
14_14_192_192_3_3_1_1_2_2	(7, 7, 192)	(14, 14, 192)	(3, 3)	(2, 2)	(1, 1)
7_7_32_128_3_3_1_1_1_1	(7, 7, 128)	(7, 7, 32)	(3, 3)	(1, 1)	(1, 1)
7_7_48_128_3_3_1_1_1_1	(7, 7, 128)	(7, 7, 48)	(3, 3)	(1, 1)	(1, 1)
35_35_256_64_1_1_0_0_1_1	(35, 35, 64)	(35, 35, 256)	(1, 1)	(1, 1)	(0, 0)
55_55_128_16_1_1_0_0_1_1	(55, 55, 16)	(55, 55, 128)	(1, 1)	(1, 1)	(0, 0)
14_14_512_32_1_1_0_0_1_1	(14, 14, 32)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
8_8_2048_384_1_1_0_0_1_1	(8, 8, 384)	(8, 8, 2048)	(1, 1)	(1, 1)	(0, 0)
112_112_32_32_1_1_0_0_1_1	(112, 112, 32)	(112, 112, 32)	(1, 1)	(1, 1)	(0, 0)
7_7_1024_1024_3_3_1_1_1_1	(7, 7, 1024)	(7, 7, 1024)	(3, 3)	(1, 1)	(1, 1)
13_13_384_256_3_3_1_1_1_1	(13, 13, 256)	(13, 13, 384)	(3, 3)	(1, 1)	(1, 1)
56_56_64_128_1_1_0_0_1_1	(56, 56, 128)	(56, 56, 64)	(1, 1)	(1, 1)	(0, 0)
14_14_64_384_1_1_0_0_1_1	(14, 14, 384)	(14, 14, 64)	(1, 1)	(1, 1)	(0, 0)
28_28_32_96_3_3_1_1_1_1	(28, 28, 96)	(28, 28, 32)	(3, 3)	(1, 1)	(1, 1)
13_13_192_384_3_3_1_1_1_1	(13, 13, 384)	(13, 13, 192)	(3, 3)	(1, 1)	(1, 1)
28_28_144_144_3_3_1_1_1_1	(28, 28, 144)	(28, 28, 144)	(3, 3)	(1, 1)	(1, 1)
14_14_256_1024_1_1_0_0_1_1	(14, 14, 1024)	(14, 14, 256)	(1, 1)	(1, 1)	(0, 0)
14_14_192_192_3_3_1_1_1_1	(14, 14, 192)	(14, 14, 192)	(3, 3)	(1, 1)	(1, 1)
28_28_256_32_1_1_0_0_1_1	(28, 28, 32)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
14_14_256_512_1_1_0_0_1_1	(14, 14, 512)	(14, 14, 256)	(1, 1)	(1, 1)	(0, 0)
28_28_512_512_1_1_0_0_1_1	(28, 28, 512)	(28, 28, 512)	(1, 1)	(1, 1)	(0, 0)
7_7_512_512_3_3_1_1_1_1	(7, 7, 512)	(7, 7, 512)	(3, 3)	(1, 1)	(1, 1)
14_14_192_64_1_1_0_0_1_1	(14, 14, 64)	(14, 14, 192)	(1, 1)	(1, 1)	(0, 0)
35_35_96_96_3_3_0_0_2_2	(17, 17, 96)	(35, 35, 96)	(3, 3)	(2, 2)	(0, 0)
7_7_1024_1024_3_3_1_1_2_2	(4, 4, 1024)	(7, 7, 1024)	(3, 3)	(2, 2)	(1, 1)
7_7_1024_512_1_1_0_0_1_1	(7, 7, 512)	(7, 7, 1024)	(1, 1)	(1, 1)	(0, 0)
13_13_48_192_3_3_1_1_1_1	(13, 13, 192)	(13, 13, 48)	(3, 3)	(1, 1)	(1, 1)
14_14_16_48_3_3_1_1_1_1	(14, 14, 48)	(14, 14, 16)	(3, 3)	(1, 1)	(1, 1)
28_28_192_96_1_1_0_0_1_1	(28, 28, 96)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
28_28_128_128_3_3_1_1_1_1	(28, 28, 128)	(28, 28, 128)	(3, 3)	(1, 1)	(1, 1)
14_14_832_256_1_1_0_0_1_1	(14, 14, 256)	(14, 14, 832)	(1, 1)	(1, 1)	(0, 0)
55_55_128_32_1_1_0_0_1_1	(55, 55, 32)	(55, 55, 128)	(1, 1)	(1, 1)	(0, 0)
7_7_400_400_1_1_0_0_1_1	(7, 7, 400)	(7, 7, 400)	(1, 1)	(1, 1)	(0, 0)
26_26_256_256_1_1_0_0_1_1	(26, 26, 256)	(26, 26, 256)	(1, 1)	(1, 1)	(0, 0)
28_28_256_256_3_3_1_1_1_1	(28, 28, 256)	(28, 28, 256)	(3, 3)	(1, 1)	(1, 1)
7_7_192_384_3_3_1_1_1_1	(7, 7, 384)	(7, 7, 192)	(3, 3)	(1, 1)	(1, 1)
14_14_528_256_1_1_0_0_1_1	(14, 14, 256)	(14, 14, 528)	(1, 1)	(1, 1)	(0, 0)
14_14_1024_512_1_1_0_0_1_1	(14, 14, 512)	(14, 14, 1024)	(1, 1)	(1, 1)	(0, 0)
28_28_128_256_3_3_1_1_2_2	(14, 14, 256)	(28, 28, 128)	(3, 3)	(2, 2)	(1, 1)
7_7_2048_512_1_1_0_0_1_1	(7, 7, 512)	(7, 7, 2048)	(1, 1)	(1, 1)	(0, 0)
7_7_512_1024_1_1_0_0_1_1	(7, 7, 1024)	(7, 7, 512)	(1, 1)	(1, 1)	(0, 0)
7_7_240_240_5_5_2_2_1_1	(7, 7, 240)	(7, 7, 240)	(5, 5)	(1, 1)	(2, 2)
28_28_192_32_1_1_0_0_1_1	(28, 28, 32)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
17_17_128_768_5_5_0_0_1_1	(13, 13, 768)	(17, 17, 128)	(5, 5)	(1, 1)	(0, 0)
14_14_512_512_1_1_0_0_1_1	(14, 14, 512)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
56_56_48_16_1_1_0_0_1_1	(56, 56, 16)	(56, 56, 48)	(1, 1)	(1, 1)	(0, 0)
14_14_48_48_3_3_1_1_1_1	(14, 14, 48)	(14, 14, 48)	(3, 3)	(1, 1)	(1, 1)
56_56_64_128_1_1_0_0_2_2	(28, 28, 128)	(56, 56, 64)	(1, 1)	(2, 2)	(0, 0)
73_73_64_80_1_1_0_0_1_1	(73, 73, 80)	(73, 73, 64)	(1, 1)	(1, 1)	(0, 0)
7_7_832_192_1_1_0_0_1_1	(7, 7, 192)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
35_35_288_48_1_1_0_0_1_1	(35, 35, 48)	(35, 35, 288)	(1, 1)	(1, 1)	(0, 0)
56_56_128_128_3_3_1_1_2_2	(28, 28, 128)	(56, 56, 128)	(3, 3)	(2, 2)	(1, 1)
7_7_144_144_5_5_2_2_2_2	(4, 4, 144)	(7, 7, 144)	(5, 5)	(2, 2)	(2, 2)
56_56_64_128_3_3_1_1_2_2	(28, 28, 128)	(56, 56, 64)	(3, 3)	(2, 2)	(1, 1)
14_14_1024_2048_1_1_0_0_2_2	(7, 7, 2048)	(14, 14, 1024)	(1, 1)	(2, 2)	(0, 0)
28_28_160_160_3_3_1_1_2_2	(14, 14, 160)	(28, 28, 160)	(3, 3)	(2, 2)	(1, 1)
28_28_512_128_1_1_0_0_1_1	(28, 28, 128)	(28, 28, 512)	(1, 1)	(1, 1)	(0, 0)
112_112_32_32_3_3_1_1_2_2	(56, 56, 32)	(112, 112, 32)	(3, 3)	(2, 2)	(1, 1)
56_56_16_48_1_1_0_0_1_1	(56, 56, 48)	(56, 56, 16)	(1, 1)	(1, 1)	(0, 0)
14_14_32_192_1_1_0_0_1_1	(14, 14, 192)	(14, 14, 32)	(1, 1)	(1, 1)	(0, 0)
28_28_256_256_1_1_0_0_1_1	(28, 28, 256)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
56_56_64_192_3_3_1_1_1_1	(56, 56, 192)	(56, 56, 64)	(3, 3)	(1, 1)	(1, 1)
14_14_256_256_3_3_1_1_1_1	(14, 14, 256)	(14, 14, 256)	(3, 3)	(1, 1)	(1, 1)
7_7_912_912_3_3_1_1_2_2	(4, 4, 912)	(7, 7, 912)	(3, 3)	(2, 2)	(1, 1)
14_14_480_16_1_1_0_0_1_1	(14, 14, 16)	(14, 14, 480)	(1, 1)	(1, 1)	(0, 0)
14_14_512_112_1_1_0_0_1_1	(14, 14, 112)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
27_27_256_48_1_1_0_0_1_1	(27, 27, 48)	(27, 27, 256)	(1, 1)	(1, 1)	(0, 0)
56_56_64_64_3_3_1_1_2_2	(28, 28, 64)	(56, 56, 64)	(3, 3)	(2, 2)	(1, 1)
14_14_48_16_1_1_0_0_1_1	(14, 14, 16)	(14, 14, 48)	(1, 1)	(1, 1)	(0, 0)
28_28_512_512_3_3_1_1_2_2	(14, 14, 512)	(28, 28, 512)	(3, 3)	(2, 2)	(1, 1)
28_28_144_144_3_3_1_1_2_2	(14, 14, 144)	(28, 28, 144)	(3, 3)	(2, 2)	(1, 1)
13_13_64_256_1_1_0_0_1_1	(13, 13, 256)	(13, 13, 64)	(1, 1)	(1, 1)	(0, 0)
55_55_64_16_1_1_0_0_1_1	(55, 55, 16)	(55, 55, 64)	(1, 1)	(1, 1)	(0, 0)
8_8_2048_448_1_1_0_0_1_1	(8, 8, 448)	(8, 8, 2048)	(1, 1)	(1, 1)	(0, 0)
