load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
375040	58800	1232	120	960	(35, 35, 48)	(35, 35, 256)	(1, 1)	(1, 1)	(0, 0)
140160	18816	336	400	384	(14, 14, 96)	(14, 14, 480)	(1, 1)	(1, 1)	(0, 0)
137216	50176	752	792	256	(28, 28, 64)	(28, 28, 64)	(3, 3)	(1, 1)	(1, 1)
265920	39200	1232	92	640	(35, 35, 32)	(35, 35, 192)	(1, 1)	(1, 1)	(0, 0)
1459600	19600	1392	2136	1600	(7, 7, 400)	(7, 7, 400)	(3, 3)	(1, 1)	(1, 1)
1148928	50176	560	932	4096	(7, 7, 1024)	(7, 7, 1024)	(1, 1)	(1, 1)	(0, 0)
724992	100352	1008	960	4096	(14, 14, 512)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
198720	48400	1232	56	320	(55, 55, 16)	(55, 55, 64)	(1, 1)	(1, 1)	(0, 0)
476672	43904	1040	1212	1792	(14, 14, 224)	(14, 14, 112)	(3, 3)	(1, 1)	(1, 1)
2406528	110976	4080	1300	1536	(17, 17, 384)	(35, 35, 288)	(3, 3)	(2, 2)	(0, 0)
80704	2352	288	120	192	(7, 7, 48)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
548864	100352	2160	792	512	(28, 28, 128)	(28, 28, 128)	(3, 3)	(1, 1)	(1, 1)
421920	58800	1472	120	960	(35, 35, 48)	(35, 35, 288)	(1, 1)	(1, 1)	(0, 0)
99840	12544	336	288	256	(14, 14, 64)	(14, 14, 384)	(1, 1)	(1, 1)	(0, 0)
99136	50176	560	120	512	(28, 28, 64)	(56, 56, 32)	(1, 1)	(2, 2)	(0, 0)
43776	6272	288	176	128	(14, 14, 32)	(14, 14, 192)	(1, 1)	(1, 1)	(0, 0)
55680	4704	224	204	384	(7, 7, 96)	(7, 7, 384)	(1, 1)	(1, 1)	(0, 0)
119296	21632	704	536	512	(13, 13, 128)	(13, 13, 256)	(1, 1)	(1, 1)	(0, 0)
182272	31360	384	624	640	(14, 14, 160)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
17328	32448	224	684	768	(13, 13, 192)	(13, 13, 48)	(1, 1)	(1, 1)	(0, 0)
174080	28224	384	568	576	(14, 14, 144)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
62208	75264	592	512	1536	(14, 14, 384)	(14, 14, 64)	(1, 1)	(1, 1)	(0, 0)
917504	802816	4592	168	7168	(56, 56, 256)	(56, 56, 64)	(1, 1)	(1, 1)	(0, 0)
7530384	14592	2928	2760	3648	(4, 4, 912)	(7, 7, 912)	(3, 3)	(2, 2)	(1, 1)
152064	50176	640	12	128	(56, 56, 16)	(56, 56, 48)	(1, 1)	(1, 1)	(0, 0)
2087712	4608	1056	1464	1152	(4, 4, 288)	(7, 7, 288)	(5, 5)	(2, 2)	(2, 2)
175104	50176	656	288	512	(28, 28, 64)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
1032192	200704	3248	1128	3584	(56, 56, 64)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
559200	117600	2192	540	1920	(35, 35, 96)	(35, 35, 96)	(3, 3)	(1, 1)	(1, 1)
27936	2352	224	120	192	(7, 7, 48)	(7, 7, 288)	(1, 1)	(1, 1)	(0, 0)
1666560	150528	2336	112	10752	(28, 28, 192)	(28, 28, 480)	(1, 1)	(1, 1)	(0, 0)
3904	9408	224	120	192	(14, 14, 48)	(14, 14, 16)	(1, 1)	(1, 1)	(0, 0)
174336	25088	960	64	2048	(7, 7, 512)	(14, 14, 256)	(1, 1)	(2, 2)	(0, 0)
1249280	25088	1088	968	2048	(7, 7, 512)	(7, 7, 2048)	(1, 1)	(1, 1)	(0, 0)
397440	48400	1712	232	320	(55, 55, 16)	(55, 55, 128)	(1, 1)	(1, 1)	(0, 0)
39168	75264	592	232	384	(28, 28, 96)	(28, 28, 16)	(1, 1)	(1, 1)	(0, 0)
1885184	200704	1232	528	28672	(14, 14, 1024)	(14, 14, 256)	(1, 1)	(1, 1)	(0, 0)
663552	200704	1904	260	4096	(28, 28, 256)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
1619744	691488	7952	236	6272	(147, 147, 32)	(149, 149, 32)	(3, 3)	(1, 1)	(0, 0)
672960	18816	768	2052	1536	(7, 7, 384)	(7, 7, 192)	(3, 3)	(1, 1)	(1, 1)
49920	12544	336	288	256	(14, 14, 64)	(14, 14, 192)	(1, 1)	(1, 1)	(0, 0)
9838592	50176	13024	5448	4096	(7, 7, 1024)	(14, 14, 1024)	(3, 3)	(2, 2)	(1, 1)
525456	2304	624	744	576	(4, 4, 144)	(7, 7, 144)	(5, 5)	(2, 2)	(2, 2)
278016	50176	752	736	512	(28, 28, 64)	(56, 56, 64)	(3, 3)	(2, 2)	(1, 1)
1352704	86528	3696	1308	2048	(13, 13, 512)	(13, 13, 256)	(3, 3)	(1, 1)	(1, 1)
373824	50176	656	484	2048	(14, 14, 256)	(14, 14, 528)	(1, 1)	(1, 1)	(0, 0)
655360	24576	752	424	1536	(8, 8, 384)	(8, 8, 1280)	(1, 1)	(1, 1)	(0, 0)
608256	43264	1136	476	1024	(13, 13, 256)	(13, 13, 1024)	(1, 1)	(1, 1)	(0, 0)
3716608	50176	1680	268	28672	(7, 7, 1024)	(14, 14, 512)	(1, 1)	(2, 2)	(0, 0)
369408	9408	768	1044	768	(7, 7, 192)	(14, 14, 192)	(3, 3)	(2, 2)	(1, 1)
60000	28224	224	1044	2304	(7, 7, 576)	(7, 7, 96)	(1, 1)	(1, 1)	(0, 0)
372800	117600	1712	540	1920	(35, 35, 96)	(35, 35, 64)	(3, 3)	(1, 1)	(1, 1)
355840	31360	672	1744	640	(14, 14, 160)	(28, 28, 160)	(3, 3)	(2, 2)	(1, 1)
542208	36992	1136	348	512	(17, 17, 128)	(17, 17, 768)	(1, 1)	(1, 1)	(0, 0)
238656	25088	656	512	1024	(14, 14, 128)	(14, 14, 528)	(1, 1)	(1, 1)	(0, 0)
1931776	100352	3248	140	28672	(14, 14, 512)	(28, 28, 256)	(1, 1)	(2, 2)	(0, 0)
233472	50176	752	568	512	(28, 28, 64)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
444960	78400	1472	708	1280	(35, 35, 64)	(35, 35, 288)	(1, 1)	(1, 1)	(0, 0)
116736	6272	384	176	128	(14, 14, 32)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
5410816	173056	26848	2616	4096	(13, 13, 1024)	(13, 13, 512)	(3, 3)	(1, 1)	(1, 1)
152064	150528	1072	12	384	(56, 56, 48)	(56, 56, 16)	(1, 1)	(1, 1)	(0, 0)
91040	19600	672	64	1600	(7, 7, 400)	(14, 14, 160)	(1, 1)	(2, 2)	(0, 0)
133120	12544	384	288	256	(14, 14, 64)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
591360	55488	1136	484	768	(17, 17, 192)	(17, 17, 768)	(1, 1)	(1, 1)	(0, 0)
3132416	24576	3056	1176	3072	(8, 8, 384)	(8, 8, 448)	(3, 3)	(1, 1)	(1, 1)
382464	100352	1776	736	1024	(28, 28, 128)	(28, 28, 96)	(3, 3)	(1, 1)	(1, 1)
530160	11760	912	1296	960	(7, 7, 240)	(7, 7, 240)	(3, 3)	(1, 1)	(1, 1)
1064960	100352	4240	296	2048	(28, 28, 128)	(28, 28, 512)	(1, 1)	(1, 1)	(0, 0)
200352	196736	1920	1696	1536	(55, 55, 64)	(55, 55, 16)	(3, 3)	(1, 1)	(1, 1)
7727104	401408	9104	280	114688	(28, 28, 512)	(56, 56, 256)	(1, 1)	(2, 2)	(0, 0)
1345920	18816	1344	2052	1536	(7, 7, 384)	(7, 7, 384)	(3, 3)	(1, 1)	(1, 1)
792576	37632	4368	744	1536	(14, 14, 192)	(14, 14, 192)	(3, 3)	(1, 1)	(1, 1)
1236992	50176	1904	2752	2048	(14, 14, 256)	(14, 14, 256)	(3, 3)	(1, 1)	(1, 1)
153600	12544	480	124	64	(28, 28, 16)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
760608	14112	1056	1548	1152	(7, 7, 288)	(7, 7, 288)	(3, 3)	(1, 1)	(1, 1)
404992	200704	1680	12	448	(112, 112, 16)	(112, 112, 32)	(1, 1)	(1, 1)	(0, 0)
991232	50176	1904	1408	1024	(14, 14, 256)	(28, 28, 256)	(3, 3)	(2, 2)	(1, 1)
67008	2352	336	456	192	(7, 7, 48)	(14, 14, 48)	(5, 5)	(2, 2)	(2, 2)
299520	28224	624	1576	576	(14, 14, 144)	(28, 28, 144)	(3, 3)	(2, 2)	(1, 1)
509184	150528	1744	684	384	(56, 56, 48)	(56, 56, 48)	(3, 3)	(1, 1)	(1, 1)
208896	25088	576	344	128	(28, 28, 32)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
1211392	346112	4272	408	6656	(52, 52, 128)	(52, 52, 64)	(3, 3)	(1, 1)	(1, 1)
395520	78400	1216	148	1280	(35, 35, 64)	(35, 35, 256)	(1, 1)	(1, 1)	(0, 0)
296640	78400	1232	148	1280	(35, 35, 64)	(35, 35, 192)	(1, 1)	(1, 1)	(0, 0)
304128	43264	752	476	1024	(13, 13, 256)	(13, 13, 512)	(1, 1)	(1, 1)	(0, 0)
476480	15680	1280	1752	1280	(7, 7, 320)	(7, 7, 160)	(3, 3)	(1, 1)	(1, 1)
430080	401408	4624	112	3584	(112, 112, 32)	(112, 112, 32)	(1, 1)	(1, 1)	(0, 0)
495616	50176	1136	1408	1024	(14, 14, 256)	(28, 28, 128)	(3, 3)	(2, 2)	(1, 1)
1229824	25088	960	2724	2048	(7, 7, 512)	(14, 14, 256)	(3, 3)	(2, 2)	(1, 1)
200512	9408	288	372	768	(7, 7, 192)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
56896	31360	384	120	640	(14, 14, 160)	(28, 28, 64)	(1, 1)	(2, 2)	(0, 0)
175104	25088	1008	92	512	(28, 28, 32)	(28, 28, 192)	(1, 1)	(1, 1)	(0, 0)
573440	12288	560	216	1536	(8, 8, 192)	(8, 8, 1280)	(1, 1)	(1, 1)	(0, 0)
608448	20480	336	5800	1280	(8, 8, 320)	(17, 17, 192)	(3, 3)	(2, 2)	(0, 0)
155392	50176	1136	120	2048	(14, 14, 256)	(28, 28, 128)	(1, 1)	(2, 2)	(0, 0)
223488	34992	784	152	576	(27, 27, 48)	(27, 27, 256)	(1, 1)	(1, 1)	(0, 0)
618496	50176	1136	1380	2048	(14, 14, 256)	(14, 14, 128)	(3, 3)	(1, 1)	(1, 1)
965808	44688	928	568	3648	(7, 7, 912)	(7, 7, 912)	(1, 1)	(1, 1)	(0, 0)
8835584	401408	25424	10992	14336	(28, 28, 512)	(28, 28, 256)	(3, 3)	(1, 1)	(1, 1)
2064384	802816	12688	176	14336	(56, 56, 256)	(56, 56, 128)	(1, 1)	(1, 1)	(0, 0)
587136	139968	2032	1196	768	(27, 27, 192)	(27, 27, 64)	(5, 5)	(1, 1)	(2, 2)
566784	46240	1136	416	640	(17, 17, 160)	(17, 17, 768)	(1, 1)	(1, 1)	(0, 0)
194816	23328	576	332	128	(27, 27, 32)	(27, 27, 256)	(1, 1)	(1, 1)	(0, 0)
987136	173056	4208	736	1024	(26, 26, 256)	(26, 26, 128)	(3, 3)	(1, 1)	(1, 1)
991744	692224	5936	216	6656	(104, 104, 64)	(104, 104, 32)	(3, 3)	(1, 1)	(1, 1)
1025024	173056	3024	1776	13312	(26, 26, 256)	(26, 26, 256)	(1, 1)	(1, 1)	(0, 0)
676352	43264	1904	1308	1024	(13, 13, 256)	(13, 13, 256)	(3, 3)	(1, 1)	(1, 1)
2297856	100352	1008	932	8192	(7, 7, 2048)	(7, 7, 1024)	(1, 1)	(1, 1)	(0, 0)
491520	20480	432	680	1280	(8, 8, 320)	(8, 8, 1280)	(1, 1)	(1, 1)	(0, 0)
239552	203840	1440	236	1856	(56, 56, 64)	(56, 56, 64)	(1, 1)	(1, 1)	(0, 0)
43136	25088	288	1408	512	(14, 14, 128)	(14, 14, 32)	(3, 3)	(1, 1)	(1, 1)
724992	50176	752	484	2048	(14, 14, 256)	(14, 14, 1024)	(1, 1)	(1, 1)	(0, 0)
220800	78400	896	344	1600	(14, 14, 400)	(14, 14, 160)	(1, 1)	(1, 1)	(0, 0)
30144	9408	336	568	192	(14, 14, 48)	(14, 14, 48)	(3, 3)	(1, 1)	(1, 1)
156672	150528	1072	344	768	(28, 28, 192)	(28, 28, 32)	(1, 1)	(1, 1)	(0, 0)
3440640	802816	12688	160	28672	(56, 56, 256)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
312000	78400	1200	712	256	(35, 35, 64)	(35, 35, 48)	(5, 5)	(1, 1)	(2, 2)
4071424	401408	4592	272	28672	(28, 28, 512)	(28, 28, 512)	(1, 1)	(1, 1)	(0, 0)
883584	112896	2352	792	2304	(28, 28, 144)	(28, 28, 144)	(3, 3)	(1, 1)	(1, 1)
602752	232064	2880	996	2688	(56, 56, 64)	(56, 56, 64)	(3, 3)	(1, 1)	(1, 1)
56960	31360	224	624	640	(14, 14, 160)	(14, 14, 160)	(1, 1)	(1, 1)	(0, 0)
380128	100352	1680	72	896	(56, 56, 32)	(112, 112, 32)	(1, 1)	(2, 2)	(0, 0)
1112064	100352	2160	1464	1024	(28, 28, 128)	(56, 56, 128)	(3, 3)	(2, 2)	(1, 1)
728448	64896	1520	1932	1536	(13, 13, 384)	(13, 13, 192)	(3, 3)	(1, 1)	(1, 1)
1451760	11760	912	2136	960	(7, 7, 240)	(7, 7, 240)	(5, 5)	(1, 1)	(2, 2)
10048	9408	224	568	192	(14, 14, 48)	(14, 14, 16)	(3, 3)	(1, 1)	(1, 1)
407680	96800	1696	140	640	(55, 55, 32)	(55, 55, 128)	(1, 1)	(1, 1)	(0, 0)
1449984	100352	1376	484	4096	(14, 14, 512)	(14, 14, 1024)	(1, 1)	(1, 1)	(0, 0)
58944	93312	1104	376	1536	(27, 27, 128)	(27, 27, 32)	(1, 1)	(1, 1)	(0, 0)
315392	401408	2352	152	7168	(56, 56, 128)	(56, 56, 64)	(1, 1)	(1, 1)	(0, 0)
93376	20224	512	388	448	(13, 13, 64)	(13, 13, 384)	(1, 1)	(1, 1)	(0, 0)
1441792	20480	752	344	2560	(8, 8, 320)	(8, 8, 2048)	(1, 1)	(1, 1)	(0, 0)
58368	50176	432	288	512	(28, 28, 64)	(28, 28, 64)	(1, 1)	(1, 1)	(0, 0)
917504	24576	576	808	1536	(8, 8, 384)	(8, 8, 2048)	(1, 1)	(1, 1)	(0, 0)
124800	12544	336	288	256	(14, 14, 64)	(14, 14, 480)	(1, 1)	(1, 1)	(0, 0)
119296	10816	384	268	256	(13, 13, 64)	(13, 13, 512)	(1, 1)	(1, 1)	(0, 0)
67392	1568	288	92	128	(7, 7, 32)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
122112	25088	656	176	256	(28, 28, 32)	(28, 28, 144)	(1, 1)	(1, 1)	(0, 0)
179600	19600	224	736	1600	(7, 7, 400)	(7, 7, 400)	(1, 1)	(1, 1)	(0, 0)
3014208	28224	1920	3060	2304	(7, 7, 576)	(7, 7, 576)	(3, 3)	(1, 1)	(1, 1)
2064384	401408	6384	88	7168	(56, 56, 128)	(56, 56, 256)	(1, 1)	(1, 1)	(0, 0)
101760	3136	336	68	64	(14, 14, 16)	(14, 14, 480)	(1, 1)	(1, 1)	(0, 0)
157696	21952	384	456	448	(14, 14, 112)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
56576	50176	432	684	128	(56, 56, 16)	(56, 56, 16)	(3, 3)	(1, 1)	(1, 1)
23280	2352	224	120	192	(7, 7, 48)	(7, 7, 240)	(1, 1)	(1, 1)	(0, 0)
556032	100352	1392	1464	1024	(28, 28, 128)	(56, 56, 64)	(3, 3)	(2, 2)	(1, 1)
2409472	25088	3392	2760	2048	(7, 7, 512)	(7, 7, 512)	(3, 3)	(1, 1)	(1, 1)
1064960	401408	7312	296	8192	(28, 28, 512)	(28, 28, 128)	(1, 1)	(1, 1)	(0, 0)
169088	43264	752	1308	1024	(13, 13, 256)	(13, 13, 64)	(3, 3)	(1, 1)	(1, 1)
624640	25088	1088	968	2048	(7, 7, 512)	(7, 7, 1024)	(1, 1)	(1, 1)	(0, 0)
24704	12544	288	736	256	(14, 14, 64)	(14, 14, 32)	(3, 3)	(1, 1)	(1, 1)
215808	100352	1392	64	2048	(28, 28, 128)	(56, 56, 64)	(1, 1)	(2, 2)	(0, 0)
1014528	43264	2672	1308	1024	(13, 13, 256)	(13, 13, 384)	(3, 3)	(1, 1)	(1, 1)
778752	56448	1232	3088	2304	(14, 14, 288)	(14, 14, 144)	(3, 3)	(1, 1)	(1, 1)
3780416	210112	1888	1096	28864	(14, 14, 1024)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
272448	31360	656	624	1280	(14, 14, 160)	(14, 14, 528)	(1, 1)	(1, 1)	(0, 0)
1518400	19600	1392	2136	1600	(7, 7, 400)	(14, 14, 400)	(3, 3)	(2, 2)	(1, 1)
360256	18816	288	708	1536	(7, 7, 384)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
101920	193600	1712	96	1280	(55, 55, 64)	(55, 55, 16)	(1, 1)	(1, 1)	(0, 0)
57648	6272	336	708	512	(7, 7, 128)	(7, 7, 48)	(3, 3)	(1, 1)	(1, 1)
623616	401408	3248	3144	1792	(112, 112, 32)	(112, 112, 32)	(3, 3)	(1, 1)	(1, 1)
158208	18816	480	1072	384	(14, 14, 96)	(28, 28, 96)	(3, 3)	(2, 2)	(1, 1)
574464	50176	432	932	4096	(7, 7, 1024)	(7, 7, 512)	(1, 1)	(1, 1)	(0, 0)
38016	43264	432	476	1024	(13, 13, 256)	(13, 13, 64)	(1, 1)	(1, 1)	(0, 0)
165888	25088	384	512	512	(14, 14, 128)	(14, 14, 512)	(1, 1)	(1, 1)	(0, 0)
2459648	25088	1728	2724	2048	(7, 7, 512)	(14, 14, 512)	(3, 3)	(2, 2)	(1, 1)
91056	32448	336	1932	768	(13, 13, 192)	(13, 13, 48)	(3, 3)	(1, 1)	(1, 1)
2129920	401408	10384	296	8192	(28, 28, 512)	(28, 28, 256)	(1, 1)	(1, 1)	(0, 0)
7533568	200704	4592	268	57344	(14, 14, 1024)	(28, 28, 512)	(1, 1)	(2, 2)	(0, 0)
1552896	75264	3952	1408	1536	(14, 14, 384)	(14, 14, 384)	(3, 3)	(1, 1)	(1, 1)
102912	75264	784	792	384	(28, 28, 96)	(28, 28, 32)	(3, 3)	(1, 1)	(1, 1)
293120	31360	1280	1808	640	(14, 14, 160)	(14, 14, 160)	(3, 3)	(1, 1)	(1, 1)
1250304	150528	6288	744	3072	(28, 28, 192)	(28, 28, 128)	(3, 3)	(1, 1)	(1, 1)
83328	8112	288	216	192	(13, 13, 48)	(13, 13, 384)	(1, 1)	(1, 1)	(0, 0)
1048576	28672	384	936	1792	(8, 8, 448)	(8, 8, 2048)	(1, 1)	(1, 1)	(0, 0)
200544	27744	480	1300	384	(17, 17, 96)	(35, 35, 96)	(3, 3)	(2, 2)	(0, 0)
1228800	28672	752	936	3584	(8, 8, 448)	(8, 8, 1280)	(1, 1)	(1, 1)	(0, 0)
38432	6272	288	708	512	(7, 7, 128)	(7, 7, 32)	(3, 3)	(1, 1)	(1, 1)
147264	6272	288	260	512	(7, 7, 128)	(7, 7, 832)	(1, 1)	(1, 1)	(0, 0)
18688	37632	416	400	768	(14, 14, 192)	(14, 14, 32)	(1, 1)	(1, 1)	(0, 0)
43392	3136	224	148	256	(7, 7, 64)	(7, 7, 384)	(1, 1)	(1, 1)	(0, 0)
